,country,description,designation,points,price,province,region,taster_name,title,variety,winery
0,France,"Produced from a selection of grapes, this is a bold, fruity wine that has rich tannins and a generous structure. It is all about the black-fruit flavors with balanced acidity and just hints of toast. It is now a delicious, mature wine from a fine year. Drink now.",Les Tours de Cantinot,90,55.0,Bordeaux,Blaye Côtes de Bordeaux,Roger Voss,Château Cantinot 2010 Les Tours de Cantinot  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château Cantinot
1,Portugal,"Moscatel grown on the high plateau above the Douro Valley proper is often forgotten when compared with Port. This honeyed, perfumed wine in its stunning clear-glass bottle is set to change that. It's rich and fortified, the alcohol giving body and spice to the wine, while the acidity conveys freshness. Hold the bottle upside down and look for the images in the punt.",Clã,88,,Moscatel do Douro,,Roger Voss,Quinta Nova de Nossa Senhora do Carmo NV Clã  (Moscatel do Douro),Moscatel,Quinta Nova de Nossa Senhora do Carmo
2,US,"A late release from this cool vintage, this wine offers aromas of cocoa and berry. The flavors are light and restrained, framed by tart acidity.",Stillwater Creek Vineyard,86,30.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Helix by Reininger 2011 Stillwater Creek Vineyard Sangiovese (Columbia Valley (WA)),Sangiovese,Helix by Reininger
3,US,"Clean and well-ripened fruit holds down center court here; tart and tight flavors of currant and berry. It's wrapped in a shell of tannin that is still hard and seeming to hold the wine back. The best guess is to give it some bottle age and let it breathe, and you will be rewarded with a polished and expressive wine.",Estate,90,28.0,Washington,Walla Walla Valley (WA),Paul Gregutt,Gifford Hirlinger 2008 Estate Petite Verdot (Walla Walla Valley (WA)),Petite Verdot,Gifford Hirlinger
4,France,"The nose gives little away and the palate still holds tightly onto its ripe yellow pear fruit. The flavors are rounded, helped along by a little residual sweetness that creates a fine plump richness on the midpalate. There is a core of juicy fruit on this fresh, easy and fluid wine.",Cuvée Emile Willm,89,21.0,Alsace,Alsace,Anne Krebiehl MW,Willm 2016 Cuvée Emile Willm Pinot Gris (Alsace),Pinot Gris,Willm
5,Italy,"This red blend commences with aromas of red currant, black berries, spice and blue flower. The spicy palate delivers black pepper, nutmeg, sour cherry and ripe raspberry sensations that are restrained by fresh acidity and bracing tannins. Hold for complexity. Drink 2015–2021. Trilussa Wine, J.W. Sieg Wines.",Riserva,91,45.0,Tuscany,Chianti Classico,Kerin O’Keefe,Tenuta di Riseccoli 2009 Riserva  (Chianti Classico),Red Blend,Tenuta di Riseccoli
6,Italy,"This shows notes of prune and chocolate, but not much complexity or finesse. It has delicious fruit and an approachable palate, but it's a bit one dimensional.",,87,80.0,Veneto,Amarone della Valpolicella,Kerin O’Keefe,Monte Tondo 2009  Amarone della Valpolicella,Red Blend,Monte Tondo
7,France,"There's no new oak used for this wine, but the wine still shows a slightly smoky tinge to its aromas, while the flavors of honey, almond and tangerine are bold and expansive. Finishes long, with a minerally edge.",,89,65.0,Rhône Valley,Hermitage,Joe Czerwinski,E. Guigal 2006 White (Hermitage),Rhône-style White Blend,E. Guigal
8,Italy,"This opens with aromas of acacia, toast and a whiff of honey. The linear palate offers golden apple, Mediterranean scrub and smoky hint of flint. A note of toasted hazelnut fills in the finish.",More Maiorum,89,,Southern Italy,Fiano di Avellino,Kerin O’Keefe,Mastroberardino 2013 More Maiorum  (Fiano di Avellino),Fiano,Mastroberardino
9,US,"Dark fruits, leather and game notes yield an almost Syrah-like nose that opens to chocolate, dark-berry and mineral flavors. Rich—even thick-textured—it is soft and quite approachable now, with fine, well-dispersed tannins. Finishes long, ultrablack, smooth and enjoyable. Drink now to 2007.",Synthesis Diamond Mtn. Vyd.,91,50.0,California,Napa Valley,,Martin Ray 1997 Synthesis Diamond Mtn. Vyd. Red (Napa Valley),Bordeaux-style Red Blend,Martin Ray
10,US,"Dark and dense upon opening, this compact, concentrated cuvée matches its muscular fruit to polished tannins. Black cherry dives deep, almost to the level of black currant fruit, and brings a streak of black olive. This impressive effort will drink well now through 2025.",Renegade Ridge Estate,94,85.0,Oregon,Dundee Hills,Paul Gregutt,Archery Summit 2012 Renegade Ridge Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
11,US,"Tighter blackberry and blueberry fruits meet with a touch of fennel on this nose of this appellation blend by Billy Wathen and Dick Dore. Flavors range from refreshing blackberry soda to root beer and cola, achieving a measure of elegance thanks to dill, tomato leaf and a tannic grip.",7200,89,38.0,California,Happy Canyon of Santa Barbara,Matt Kettmann,Foxen 7200 2012 7200 Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Foxen 7200
12,US,"This wine is lively and spicy, with cranberry and cherry flavors, juicy acidity and a strong impression of citrus. The tannins are firm and balanced, with a hint of stem showing through the finish.",Vintner's Reserve,89,15.0,Oregon,Willamette Valley,Paul Gregutt,Samuel Robert 2015 Vintner's Reserve Pinot Noir (Willamette Valley),Pinot Noir,Samuel Robert
13,France,"Tight and crisp initially, this broadens out into a ripe, full wine that is well balanced. A great swathe of tangy citrus and orange is offset by the more generous background of ripe apricots and spicy quince. Drink from 2016.",Vieilles Vignes,90,,Burgundy,Pouilly-Fuissé,Roger Voss,Vins des Personnets 2013 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Vins des Personnets
14,Argentina,"Exotic, earthy aromas of loamy blackberry, pencil eraser, brown sugar and violet petals lead to a deep but wiry and clipped-feeling palate. The flavor profile is oaky, with spiced berry and cardamom notes leading the charge. A lasting finish is stern and doesn't waver. Drink through 2020.",Imposible,91,28.0,Mendoza Province,Mendoza,Michael Schachner,Maal 2012 Imposible Malbec (Mendoza),Malbec,Maal
15,US,"This tiny production Chardonnay shows the hallmarks of Edna Valley. It's bright and brisk in acidity, very clean and dry, and classically pure in lime, kiwi and papaya fruit. Bring on the Dungeness crab and buttered sourdough bread and enjoy.",Edna Ranch Block 569,90,42.0,California,Edna Valley,,Tolosa 2010 Edna Ranch Block 569 Chardonnay (Edna Valley),Chardonnay,Tolosa
16,Portugal,"This dry, well-aged tawny definitely tastes more than its 10 years indication. It has strong wood and toast characters and a smoky flavor cut with old-gold acidity. It's complex, dried fruits and nuts coming through at the end.",10 Anos Tawny,91,29.0,Port,,Roger Voss,Wiese & Krohn NV 10 Anos Tawny  (Port),Port,Wiese & Krohn
17,France,"What makes a great Chablis grand cru? It's the intensity of flavor, which can be found in this wine. Its green and white fruits are layered with wood spice and an ineffable crispness that allows the wine to show the purity of Chardonnay and the great terroir at the same time.",Les Clos Grand Cru,95,90.0,Burgundy,Chablis,Roger Voss,William Fèvre 2006 Les Clos Grand Cru  (Chablis),Chardonnay,William Fèvre
18,Portugal,"From the Setúbal Peninsula, this 100% Periquita is bright and cherry-laden. Soft and velvety in texture, yet with sufficient acidity to accompany food. Be forewarned: There are some nasty bottle stinks that warrant decanting prior to serving. Best Buy.",Tradicão,87,7.0,Palmela,,Joe Czerwinski,Quinta da Romeira 1999 Tradicão Red (Palmela),Red Blend,Quinta da Romeira
19,US,"The nose on this semi-dry Riesling is a touch savory, brimming with green herb, pressed apple and pear aromas. The palate, however, turns fresher, floral and fruity, filling the mouth with sweet-tart grapefruit and peach flavors. Nervy acidity extends a moderately long finish.",Semi-Dry,88,14.0,New York,Finger Lakes,Anna Lee C. Iijima,Heron Hill 2014 Semi-Dry Riesling (Finger Lakes),Riesling,Heron Hill
20,Austria,"Textured richness with the flavor of juicy, yellow pears makes this a rounded but zesty Riesling with great, lemony focus.",Zehetnerin,90,,Kremstal,,Anne Krebiehl MW,Mantlerhof 2013 Zehetnerin Riesling (Kremstal),Riesling,Mantlerhof
21,US,"There's lots of acidity and green, tangy gooseberry fruit in this bone-dry Sauvignon Blanc. It's a severe wine, brittle and citrusy, but honeyed in the finish.",,86,18.0,California,Sonoma Coast,,Schug 2010 Sauvignon Blanc (Sonoma Coast),Sauvignon Blanc,Schug
22,France,"This blend of the two Manseng white grapes is full of late-harvest richness and intense acidity. It has a touch of honey, lemon curd sweetness and a light texture. It will be ready to drink from 2019.",Tendresse,89,22.0,Southwest France,Jurançon,Roger Voss,Château de Jurque 2015 Tendresse  (Jurançon),Gros and Petit Manseng,Château de Jurque
23,US,"Tannic and drying, this offers simple black cherry fruit that thins out and finishes quickly. It's just a cut above generic.",,86,27.0,Oregon,Oregon,Paul Gregutt,Twill 2014 Syrah (Oregon),Syrah,Twill
24,US,"Juicy black currant and berry meet smoky oak and firm tannin in this approachably fruity, integrated effort from the appellation known best for its dust.",Reserve,88,60.0,California,Rutherford,Virginie Boone,Julietta 2013 Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Julietta
25,Italy,"A blend of Sangiovese and Merlot, this shows great balance and loads of food-friendly nuances of cherry, spice and chocolate. Bright acidity keeps the palate refreshed.",Badiola,88,15.0,Tuscany,Toscana,,Mazzei 2011 Badiola Red (Toscana),Red Blend,Mazzei
26,South Africa,"A refreshing and approachable wine, with forward notes of green plum, plantain, Granny Smith apple and lime on the nose and palate. There's a slight roundness to the midpalate, but a vibrant twang lifts the finish.",Chenin No. 5,86,11.0,Robertson,,Lauren Buzzeo,Van Loveren 2011 Chenin No. 5 Chenin Blanc (Robertson),Chenin Blanc,Van Loveren
27,Italy,"Delicate scents of spring blossom and white stone fruit lead the way. The slightly off-dry linear palate shows finesse and freshness, offering white peach, pear and green apple set against crisp acidity and a refined perlage.",6° Senso Dry,89,23.0,Veneto,Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Andreola 2016 6° Senso Dry  (Valdobbiadene Prosecco Superiore),Glera,Andreola
28,Austria,"Hints of soy and pepper color the generously ripe notions of yellow pear and red apple on the nose. The palate reinforces the spiciness with more shimmering white pepper and the ripeness with extra juiciness. This is rounded but fresh, and just so full of sunny friendly fruit. The appetizing and moreish finish returns to that initial soy-like spice.",Höhlgraben Reserve Alte Reben,93,47.0,Kremstal,,Anne Krebiehl MW,Malat 2015 Höhlgraben Reserve Alte Reben Grüner Veltliner (Kremstal),Grüner Veltliner,Malat
29,Argentina,"Dry and smoky on one hand, but also somewhat damp and soupy on the nose. This is a medium-to-full PN with a dark color and a mix of sweet and dry flavors as well as chunky oak and chocolate on the back palate. Creamy, sweet and showing a lot of barrel influence.",Reserva,85,21.0,Mendoza Province,Maipú,Michael Schachner,Luigi Bosca 2008 Reserva Pinot Noir (Maipú),Pinot Noir,Luigi Bosca
30,Italy,"Easy and fresh, this ruby-colored wine opens with cherry, blackberry and dried rose aromas. It's clean and crisp, with a simple finish.",Grotta del Ninfeo,85,19.0,Veneto,Valpolicella,,Domenico Fraccaroli 2011 Grotta del Ninfeo  (Valpolicella),"Corvina, Rondinella, Molinara",Domenico Fraccaroli
31,US,"Tannic and dry, it's one tough wine, stinging the gums. But it has plenty of ripe blackberry, coffee, pepper and toasty flavors, and should age well. Hold onto it until 2019.",,88,40.0,California,Knights Valley,,Summers 2011 Petite Sirah (Knights Valley),Petite Sirah,Summers
32,US,"Mellow and subtle, this is a soft-spoken but deeply flavorful special bottling from Navarro. It has great balance, reserved raspberry and black cherry flavors and an appetizing, firmly tannic texture. Save a few bottles until 2020 to see how well it develops.",Deep End Blend,91,55.0,California,Anderson Valley,Jim Gordon,Navarro 2015 Deep End Blend Pinot Noir (Anderson Valley),Pinot Noir,Navarro
33,Austria,"For lovers of red sparkling wine with its attendant tannins, this is a fine example. It has a definite Pinot Noir farmyard character along with tannins, a touch of smokiness, and a definite need for food.",Sekt,87,32.0,Österreichischer Sekt,,Roger Voss,Steininger 2010 Sekt Pinot Noir (Österreichischer Sekt),Pinot Noir,Steininger
34,France,"91-93 Barrel sample. Belair has been given a new name, after Christian Moueix's grandmother, in honor of its purchase by the Moueix family. The wine is ripe, with its dark tannins and perfumed fruit, lifted by a final smoky character.",Barrel sample,92,,Bordeaux,Saint-Émilion,Roger Voss,Château Bélair-Monange 2008 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Bélair-Monange
35,US,"Dense and meaty like a baked purple leather pouch, this is tightly tannic, with a lift of acidity on the midpalate and a hint of violet struggling to get out. It's an interesting wine; give it 3–5 years in the cellar or drink now with red meat.",Ghielmetti Vineyard,89,50.0,California,Livermore Valley,Virginie Boone,Steven Kent 2008 Ghielmetti Vineyard Petit Verdot (Livermore Valley),Petit Verdot,Steven Kent
36,US,"Quirky, art-minded winemaker Matthias Sanguis crafts a stellar Syrah, with a lush bouquets of violets, blue raspberry, black peppercorns and vanilla. The palate, bound together with a lean acidic line down the middle, presents dark but tart cherries, sweet tobacco and the tang of plum peel.",Bossman,92,75.0,California,Central Coast,Matt Kettmann,Sanguis 2011 Bossman Syrah (Central Coast),Syrah,Sanguis
37,US,"Light in color, aromas of vanilla, caramel, toast, char and wood spice lead to wood-forward fruit flavors backed by tart acids. The oak seems out of check but it still brings some appeal.",Rosebud Vineyard Red Wine,87,27.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Castillo De Feliciana 2014 Rosebud Vineyard Red Wine Tempranillo (Columbia Valley (WA)),Tempranillo,Castillo De Feliciana
38,Italy,"Made with organically grown grapes, this opens with aromas of French oak, mature black-skinned fruit, kitchen spice, menthol and a whiff of cured meat. The full-bodied straightforward palate offers mouthfuls ripe morello cherry, star anise and chopped sage alongside a backbone of fine-grained tannins. Drink 2018–2023.",Boiolo,90,55.0,Piedmont,Barolo,Kerin O’Keefe,Camparo 2012 Boiolo  (Barolo),Nebbiolo,Camparo
39,Spain,"Aromas of red plum, tomato and herbs are savory and a bit saucy. This feels dense and pulpy, but balanced. Flavors of plum, raspberry, currant and earthy spices finish with a hint of oak, licorice and spiced berry notes. Best from 2018 through 2022.",Óscar Tobía Reserva,91,35.0,Northern Spain,Rioja,Michael Schachner,Bodegas Tobía 2011 Óscar Tobía Reserva  (Rioja),Tempranillo Blend,Bodegas Tobía
40,Bulgaria,"This Bulgarian Pinot Noir has aromas of black cherry, red raspberry and cinnamon. In the mouth, there are flavors of dried black cherry, fresh cherry juice and brown baking spices before the pleasant, persistent finish.",,90,17.0,Danube River Plains,,Jeff Jenssen,Chateau Burgozone 2014 Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
41,US,"Juicy fruit flavors carry a pleasantly candied character, dappled with hints of cinnamon and pepper flakes. It's broad and appealing, with a touch of mint enlivening the finish.",,89,18.0,Oregon,Willamette Valley,Paul Gregutt,Brooks 2015 Pinot Blanc (Willamette Valley),Pinot Blanc,Brooks
42,Italy,"Heady scents of honeysuckle, acacia and yellow stone fruit lead the way on this radiant white. On the vibrant, elegantly structured palate, energizing mineral frames mature apple, white peach, fresh apricot and chopped mint. Hold for even more complexity. Drink through 2023.",Studi Laura,94,60.0,Southern Italy,Greco di Tufo,Kerin O’Keefe,Feudi di San Gregorio 2013 Studi Laura  (Greco di Tufo),Greco,Feudi di San Gregorio
43,France,"This pale salmon rosé is fresh and clean. It opens with bright aromas of strawberry hull, watermelon rind and citrus peel that carry through to the linear yet vibrant palate. The palate boasts excellent verve and refreshment, making this a perfect choice for warm-weather enjoyment. Drink now.",Gris Blanc,88,17.0,Languedoc-Roussillon,Pays d'Oc,Lauren Buzzeo,Gérard Bertrand 2014 Gris Blanc Rosé (Pays d'Oc),Rosé,Gérard Bertrand
44,US,"Though richly perfumed with rose petals and elderflower, the flowery aromatics are reined in by bright lemon and citrus peel notes. The palate is plush and rich with flavors evocative of earl grey tea served with rose petal jam, with a gentle acidity to keep things fresh.",,87,17.0,New York,Finger Lakes,Anna Lee C. Iijima,Atwater 2008 Gewürztraminer (Finger Lakes),Gewürztraminer,Atwater
45,France,"From this powerful and structured vineyard comes a powerful and structured wine. It's very firm, dry and solidly concentrated at the heart. There is also a surge of rich, open fruitiness that complements the fine acidity. It's complex, perfumed and expressive. Age for seven years.",,95,,Burgundy,Bonnes-Mares,Roger Voss,François Bertheau 2011  Bonnes-Mares,Pinot Noir,François Bertheau
46,US,"This smooth, almost soft, medium-bodied wine features tasty blackberry flavors, light tannins and a nice feeling of richness. It has a lot of flavor and an easy-drinking style.",,86,15.0,California,California,Jim Gordon,Tom Gore 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Tom Gore
47,US,"Bordeaux blends show promise in this region. This combination of 50% Cabernet Sauvignon, 37.5% Merlot and 12.5% Cabernet Franc reveals rustic, leathery aromas of crushed Italian herbs, dried red cherries and fresh dill. Once sipped, flavors of fresh-ground coffee, oregano and bay leaf spice a base of cranberry fruit.",,88,14.0,California,Temecula Valley,Matt Kettmann,Falkner 2011 Meritage (Temecula Valley),Meritage,Falkner
48,US,"Seeming delicate at first, barely-there whiffs of lemon peel and green herb turn riper and sunnier on this dry, medium-bodied Riesling. The palate is quite unctuous, dripping with white peach and grapefruit nectar. A cool strike of steel extends from midpalate to finish, lending mineral elegance to this ripe, rich wine.",Reserve Dry,92,29.0,New York,Seneca Lake,Anna Lee C. Iijima,Hermann J. Wiemer 2014 Reserve Dry Riesling (Seneca Lake),Riesling,Hermann J. Wiemer
49,France,"Maturity comes slowly to a Sauternes, but this wine is almost there. Its fine sweetness is balanced by a lemon curd-like acidity while its rich botrytis is finely integrated with the opulent texture. Drink now.",Cuvée Exceptionelle,92,40.0,Bordeaux,Sauternes,Roger Voss,Château Simon 2010 Cuvée Exceptionelle  (Sauternes),Bordeaux-style White Blend,Château Simon
50,US,"An ultrazesty, lemony Chardonnay, this has razor-sharp acidity that should mellow out when paired with the right foods, like seafood in a creamy sauce.",Premiere Reserve,88,25.0,California,Anderson Valley,Virginie Boone,Navarro 2010 Premiere Reserve Chardonnay (Anderson Valley),Chardonnay,Navarro
51,US,"Made from organically farmed grapes grown in an estate vineyard, then cradled in American oak, this delivers subdued aromas of ripe, lusty lemon and big oak. Lurching toward the finish are flavors of caramel and bittersweet dried fruit.",Reserve,86,65.0,California,Carneros,Virginie Boone,ZD 2012 Reserve Chardonnay (Carneros),Chardonnay,ZD
52,US,"A tough, gritty wine, dry and tannic, with some decent berry and cherry flavors. It's the kind of red wine that will happily wash down a cheeseburger.",Rosso di Napa,83,11.0,California,Napa Valley,,Ca' Momi 2009 Rosso di Napa Red (Napa Valley),Red Blend,Ca' Momi
53,France,"Delicately perfumed with bright red-fruit aromas, this is a light, fruity, forward wine that is ready to drink now. Acidity cuts through the palate and soft tannins linger on the finish.",,86,20.0,Burgundy,Bourgogne,Roger Voss,Louis Chavy 2011  Bourgogne,Pinot Noir,Louis Chavy
54,France,"This comes from one of the small Margaux vineyards that are dotted amongst the big-name estates. René Renon's wine is ripe and juicy—still young and exuberant. It balances Merlot and Cabernets Sauvignon and Franc in almost equal proportions, giving a wine that has structure and plenty of berry fruits. Drink this wine from 2020.",Château Charmant,92,30.0,Bordeaux,Margaux,Roger Voss,VIgnobles René Renon 2014 Château Charmant  (Margaux),Bordeaux-style Red Blend,VIgnobles René Renon
55,US,"Owing perhaps to its youth,this remains an uneasy mix of acid, oak, apple and citrus. It has strong components that are not entirely integrated. Another year or two in bottle would be a good idea.",,87,35.0,Oregon,Willamette Valley,Paul Gregutt,Dois Irmãos 2015 Chardonnay (Willamette Valley),Chardonnay,Dois Irmãos
56,France,"With some firm tannins and considerable red fruit juiciness, this is a wine that combines a good fruity character with a solid structure. The balancing side is the acidity and very fresh finish.",,89,21.0,Beaujolais,Saint-Amour,Roger Voss,Domaine de Billards 2009  Saint-Amour,Gamay,Domaine de Billards
57,Spain,"Grassy berry and light, leafy aromas define the bouquet. The mouth is a little tangy but mostly jammy, while blueberry, lemony oak and dilution define the flavor profile. A short, choppy, jammy finish comes across slightly washed out.",,84,12.0,Central Spain,La Mancha,Michael Schachner,Finca Antigua 2010 Garnacha (La Mancha),Garnacha,Finca Antigua
58,US,"Simple and sharp in acidity, this Pinot has a jammy raspberry flavor. It tastes sugary-sweet all through the finish. It was tasted twice.",Grand Reserve,82,26.0,California,Russian River Valley,,Thomas Scott 2010 Grand Reserve Pinot Noir (Russian River Valley),Pinot Noir,Thomas Scott
59,Spain,"Caramel and baked-apple aromas are nutty and not pushy. This is crisp, with hard-hitting acidity. Flavors of orange peel, toffee and oxidized white fruits finish nutty, much like walnut oil. This is a fine Sherry but it's a bit tangy and high in acid.",30 Yr. Old Baco Imperial Oloroso,90,100.0,Andalucia,Jerez,Michael Schachner,Bodegas Dios Baco S.L. NV 30 Yr. Old Baco Imperial Oloroso Sherry (Jerez),Sherry,Bodegas Dios Baco S.L.
60,France,"The wine has a bitter edge with a burnt character that clashes with the red fruit and banana flavors. Maybe better in a few months, but by then, of course, it will have been drunk.",Nouveau,83,10.0,Beaujolais,Beaujolais,Roger Voss,Albert Bichot 2011 Nouveau  (Beaujolais),Gamay,Albert Bichot
